id,lng,lat
1,-71.39386,42.2990573
2,-84.52152,39.3015765
3,-84.51018,39.3736501
4,-73.1501399,41.2330076
5,-71.2041,42.1549854
6,-76.01788,43.034601
7,-88.01285,41.7509398
8,-72.8599799,40.8025547
9,-97.02123,33.057076
10,-80.31488,36.0660412
11,-121.1677,38.6710055
12,-80.8839,34.1168215
13,-89.03201,42.3670251
14,-97.69362,30.6328906
15,-93.75805,41.6006138
16,-86.62067,36.332981
17,-85.01073,41.1301848
18,-95.37917,29.5558645
19,-83.5908199,41.5448737
20,-96.95954,32.9177072
21,-87.471,41.5256361
22,-121.28593,38.790095
23,-72.88487,41.8240907
24,-117.55841,34.0762426
25,-72.6257399,42.1327538
26,-73.40927,41.4362001
27,-73.11002,40.8266616
28,-73.11065,40.8265697
29,-72.81097,41.2823103
30,-72.8309699,41.2752717
31,-81.28278,28.9167555
32,-75.43079,39.9144024
33,-74.41923,40.6395769
34,-72.8306999,41.274957
35,-91.05963,30.3774058
36,-121.37577,38.0558125
37,-85.61378,38.2480818
38,-86.69703,33.4162157
39,-95.85473,36.0610634
40,-122.79014,45.4913706
41,-87.88617,41.5028067
42,-97.79948,30.4799077
43,-76.9273599,38.6195855
44,-82.32273,27.9206827
45,-77.52701,38.8016286
46,-111.80834,33.3788345
47,-77.60118,37.6494336
48,-84.2338,39.1959768
49,-77.60542,37.5055675
50,-76.34008,40.0669183
51,-88.1197,41.7037699
52,-84.74099,33.3973908
53,-104.77061,39.5107314
54,-90.4470599,38.5060314
55,-121.89769,37.4130229
56,-84.16803,35.8775479
57,-94.66766,38.9164592
58,-89.96996,34.9626939
59,-84.23002,39.1975906
60,-97.3199999,32.562771
61,-98.66363,29.5501086
62,-95.58658,29.7363571
63,-85.66644,38.0881727
64,-88.20411,41.6669524
65,-105.05316,39.9122235
66,-122.2135,38.1360301
67,-83.01628,40.1618936
68,-84.55552,34.0810681
69,-122.45845,37.6764286
70,-95.71911,29.7720539
71,-118.15203,34.0799145
72,-76.95513,39.0574545
73,-104.94013,39.9164933
74,-79.9071699,36.0593697
75,-105.1311,40.1458121
76,-83.68451,41.6173662
77,-77.4111999,38.4717686
78,-90.42688,38.7514002
79,-117.82921,34.1182538
80,-86.08735,42.8191057
81,-81.73017,28.5231792
82,-117.55266,33.97536
83,-95.60224,29.9231861
84,-118.07226,33.7833876
85,-94.7293,38.9563792
86,-95.80728,36.2931943
87,-72.80952,41.506279
88,-73.49307,41.294683
89,-77.38057,38.8583275
90,-76.4245,40.3203784
91,-83.18634,42.5430017
92,-93.3557,45.2012736
93,-118.05978,33.8692285
94,-117.04733,32.9378096
95,-84.42406,33.9800946
